Games Played,Player Hand,Dealer Hand,Win/Loss ($),Count
1,14,21,-10,-0.126
2,20,17,10,-0.382
3,11,21,-10,-0.515
4,19,24,10,-0.653
5,22,20,-10,-1.059
6,19,19,0,-1.337
7,19,18,10,-1.621
8,12,18,-10,-1.505
9,23,18,-10,-1.664
10,21,24,10,-1.275
11,22,16,-10,-1.436
12,16,18,-10,0.0
13,12,18,-10,0.0
14,13,18,-20,-0.897
15,21,13,15.0,-1.058
16,24,20,-10,-1.227
17,15,18,-20,-0.937
18,19,21,-10,-1.422
19,20,21,-10,-1.605
20,23,20,-10,-1.799
21,20,25,10,-1.505
22,18,17,10,-1.023
23,20,21,-10,-1.213
24,20,17,10,-1.415
25,14,24,10,-1.439
26,19,20,-10,-0.919
27,13,22,10,-0.561
28,20,21,-10,-0.952
29,13,21,-20,-0.39
30,18,18,0,0.0
31,17,19,-10,0.0
32,21,24,10,0.208
33,18,19,-10,-0.211
34,16,25,10,-0.216
35,22,20,-10,-0.661
36,19,19,0,-0.675
37,20,26,10,-1.381
38,21,22,20,-1.655
39,17,21,-10,-1.693
40,18,17,10,-1.733
41,20,26,10,-2.537
42,20,18,10,-2.86
43,13,26,10,-2.948
44,25,13,-10,-2.766
45,13,25,10,-2.842
46,17,19,-20,-2.629
47,20,20,0,-2.116
48,16,18,-10,0.0
49,12,18,-10,0.0
50,19,18,10,0.0
51,24,18,-10,0.0
52,12,20,-10,1.006
53,27,19,-10,0.698
54,16,18,-10,0.0
55,12,18,-10,0.0
56,19,18,10,0.0
57,24,18,-10,0.0
58,17,26,10,0.0
59,13,26,10,0.0
60,17,26,10,0.0
61,12,23,10,0.0
62,20,20,0,0.0
63,20,26,10,-1.258
64,20,17,10,-0.441
65,20,21,-10,0.0
66,18,19,-10,0.0
67,20,24,10,-0.38
68,19,24,10,-0.64
69,12,19,-10,-0.26
70,22,11,-10,0.132
71,25,17,-10,-0.134
72,17,25,10,-0.407
73,13,20,-10,0.415
74,22,18,-10,0.28
75,19,19,0,0.712
76,19,18,10,0.869
77,24,17,-10,0.734
78,18,17,10,0.745
79,18,19,-10,0.91
80,16,26,10,1.08
81,17,26,10,0.94
82,20,17,20,1.117
83,18,18,0,1.462
84,17,25,20,1.159
85,21,18,15.0,0.671
86,21,13,15.0,0.51
87,20,22,20,1.043
88,20,23,20,1.425
89,15,19,-10,1.631
90,14,17,-20,2.221
91,15,19,-20,3.025
92,17,24,10,3.286
93,20,25,10,2.955
94,24,18,-10,2.811
95,20,19,10,2.661
96,17,19,-10,2.496
97,25,17,-10,2.996
98,16,20,-20,3.072
99,24,20,-10,3.152
100,21,24,10,3.714
101,19,20,-10,3.073
102,19,26,20,3.906
103,14,21,-10,3.483
104,20,17,10,2.79
105,17,19,-10,2.587
106,18,22,10,3.216
107,20,17,10,3.302
108,12,26,10,3.694
109,20,18,10,4.09
110,23,20,-10,3.607
111,26,20,-10,3.425
112,13,17,-10,3.852
113,18,23,10,4.0
114,17,21,-10,3.421
115,18,18,0,4.986
116,18,23,10,4.115
117,24,20,-10,3.104
118,18,18,0,3.628
119,16,22,10,3.355
120,25,14,-10,3.059
121,21,13,15.0,2.261
122,19,23,10,2.407
123,19,18,10,0.0
124,26,11,-10,0.0
125,19,22,10,-0.13
126,18,26,10,0.132
127,16,24,10,0.0
128,20,22,10,0.0
129,17,25,10,0.275
130,21,21,0,0.28
131,19,22,10,0.285
132,21,18,20,0.144
133,24,17,-10,-0.146
134,13,22,10,-0.297
135,18,25,10,-0.603
136,13,21,-10,-0.915
137,19,22,10,-0.311
138,19,19,0,-0.316
139,22,14,-10,-0.16
140,17,18,-10,-0.325
141,20,23,10,-0.66
142,12,23,10,-0.671
143,19,19,0,-0.682
144,21,20,10,-0.522
145,21,14,15.0,-0.881
146,16,22,10,-0.9
147,20,23,10,-1.465
148,17,20,-10,-1.491
149,21,16,15.0,-1.891
150,18,22,10,-2.119
151,22,20,-10,-2.167
152,19,23,10,-2.016
153,16,20,-10,-1.85
154,20,20,0,-2.097
155,18,24,10,-2.568
156,25,11,-10,-2.622
157,20,18,10,-2.901
158,17,17,0,-2.291
159,17,18,-10,-2.798
160,21,5,15.0,-2.849
161,15,24,20,-2.441
162,12,21,-10,-2.986
163,12,24,10,-3.074
164,24,15,-10,-3.414
165,14,17,-10,-2.964
166,21,12,15.0,-3.577
167,25,18,20,-3.694
168,19,19,0,-3.232
169,17,24,10,-3.628
170,21,21,0,-4.952
171,21,19,10,-4.173
172,17,20,-10,-4.306
173,20,22,10,-4.789
174,14,20,-10,-4.599
175,21,20,10,-5.493
176,21,20,10,-6.073
177,12,19,-10,-4.763
178,13,17,-10,-4.127
179,17,17,0,-4.298
180,19,19,0,-4.483
181,22,19,-10,-4.685
182,21,17,10,-3.0
183,20,21,-10,-0.253
184,20,18,10,-0.384
185,23,11,-10,-0.389
