Games Played,Player Hand,Dealer Hand,Win/Loss ($),Count
1,23,14,-5,0.0
2,21,12,7.5,-0.256
3,18,20,-5,-0.645
4,17,19,-5,-0.653
5,19,17,5,-0.924
6,18,17,5,-0.936
7,22,18,-5,-1.083
8,21,22,5,-0.966
9,20,17,5,-1.255
10,15,17,-5,-0.426
11,20,24,5,-0.864
12,13,17,-5,-0.732
13,17,20,-5,-0.596
14,13,17,-5,0.152
15,18,17,5,0.154
16,21,12,7.5,-0.156
17,21,27,5,0.16
18,27,9,-5,0.162
19,19,21,-5,0.332
20,13,21,-5,0.675
21,20,20,0,0.689
22,25,20,-5,0.35
23,18,24,5,0.536
24,24,19,-5,0.182
25,17,19,-5,0.185
26,19,20,-5,-0.375
27,17,24,10,0.0
28,20,19,5,-0.584
29,17,25,5,-0.794
30,12,26,5,-0.809
31,21,13,7.5,-1.233
32,20,21,-5,-1.468
33,18,20,-5,-1.712
34,21,18,5,-1.748
35,22,20,-5,-2.009
36,16,19,-10,-1.145
37,20,20,0,-1.64
38,20,20,0,-1.917
39,19,20,-5,-2.441
40,17,17,0,-2.986
41,21,18,10,-2.818
42,17,21,-5,-3.152
43,19,21,-5,-4.021
44,20,24,5,-4.149
45,17,22,5,-5.399
46,14,19,-5,-4.407
47,15,23,5,-4.837
48,21,17,10,-4.982
49,12,17,-5,-4.494
50,20,21,-5,-5.299
51,25,14,-5,-5.474
52,12,17,-5,-4.986
53,14,21,-5,-3.714
54,11,21,-5,-3.824
55,19,21,-5,-3.2
56,21,22,5,-2.537
57,18,18,0,-0.889
58,21,20,10,0.0
59,21,15,7.5,-0.972
60,16,26,5,0.127
61,17,18,-5,0.128
62,13,19,-5,0.782
63,19,18,5,0.792
64,13,19,-5,1.069
65,18,20,-5,0.675
66,19,21,-5,0.547
67,17,22,5,0.976
68,17,22,5,0.848
69,17,26,5,1.006
70,18,24,5,1.02
71,22,11,-5,1.33
72,19,19,0,1.046
73,12,25,5,1.061
74,19,25,5,1.08
75,17,20,-5,0.625
76,18,18,0,0.316
77,19,17,5,0.16
78,23,12,-5,0.0
79,18,19,-5,0.166
80,18,20,-5,0.506
81,22,17,-5,0.172
82,26,17,-5,-0.174
83,20,24,5,-0.71
84,21,26,10,-0.182
85,17,20,-5,-0.373
86,13,17,-5,-0.19
87,20,21,-5,0.0
88,18,19,-5,0.398
89,28,20,10,0.614
90,21,17,5,0.418
91,16,25,5,0.213
92,16,23,5,0.0
93,19,21,-5,-0.664
94,21,20,5,0.0
95,21,19,5,-0.233
96,14,21,-5,-0.712
97,17,26,5,-0.488
98,18,22,5,0.252
99,13,20,-5,0.26
100,21,22,5,0.547
101,21,19,7.5,-0.28
102,18,21,-5,0.289
103,21,20,10,0.598
104,19,19,0,1.238
105,20,27,5,0.319
106,20,19,5,0.331
107,20,20,0,-1.02
108,22,12,-5,-0.351
109,20,19,5,0.738
110,21,8,7.5,0.759
111,22,20,-5,-0.397
112,20,23,5,-1.238
113,10,21,-5,-1.705
114,24,18,-5,-2.667
115,17,25,5,-3.714
116,12,17,-5,-3.467
117,12,17,-5,-3.467
118,17,18,-5,0.0
119,12,21,-5,-0.128
120,20,23,5,-0.13
121,17,21,-5,0.0
122,26,19,-5,-0.267
123,18,20,-5,0.0
124,21,14,7.5,-0.274
125,20,24,5,-0.278
126,16,17,-5,-0.141
127,17,21,-5,-0.57
128,21,18,5,-0.722
129,17,20,-5,-1.169
130,12,20,-10,-0.891
131,15,17,-5,-0.754
132,22,11,-5,-0.612
133,19,26,5,-0.778
134,17,22,5,-0.634
135,14,23,10,-0.646
136,18,25,5,-0.984
137,18,19,-5,-1.329
